-0.01321,-0.0007957,-0.007645,-0.00069712,0.011313,0.010212,0.0081871,0.018572,0.00091514,0.0023302,0.0098399,-0.0012731,0.006973,0.016269,0.010157
-0.0077745,0.0017513,-0.0099092,0.00012607,0.016198,0.0082741,0.012051,0.019377,0.0016385,0.0013693,0.01286,0.0013287,0.008803,0.019867,0.010015
-0.003668,0.0014954,-0.010795,0.0015932,0.01821,0.0063909,0.012402,0.019031,0.0021324,0.00052996,0.0133,0.0040881,0.009384,0.021225,0.0097995
-0.00089506,-0.00033063,-0.010514,0.0037727,0.016372,0.0042349,0.0092251,0.016905,0.0024708,0.00045864,0.010808,0.0050399,0.0084299,0.020216,0.0085913
0.0013836,-0.00075346,-0.010223,0.0058256,0.011596,0.0014306,0.0052262,0.012464,0.0027287,0.0013716,0.0071176,0.0026232,0.0065309,0.017432,0.0056542
0.0035826,0.00037051,-0.0098826,0.0064555,0.0054009,-0.0017061,0.0023843,0.005184,0.0027509,0.0021473,0.0037389,-0.001242,0.0043287,0.012159,0.0017215
0.0054115,0.000788,-0.0077346,0.00499,-0.00077477,-0.0042191,0.00030253,-0.0041237,0.0024157,0.0015383,0.00041825,-0.0034377,0.0020245,0.0037337,-0.0017972
0.0064849,-0.00011799,-0.002576,0.0019576,-0.0055398,-0.0056467,-0.0023227,-0.012613,0.001649,7.7924e-05,-0.0036895,-0.0041447,-0.00046018,-0.0060361,-0.0045852
0.0067046,-0.00060763,0.0041476,-0.0013299,-0.0079389,-0.0066538,-0.0055529,-0.017445,0.00015434,-0.0005132,-0.0080224,-0.0060802,-0.0031808,-0.013908,-0.007274
0.0061927,0.00017005,0.0095308,-0.0035226,-0.0082506,-0.0079781,-0.0077774,-0.018457,-0.0021825,0.0001113,-0.010881,-0.0094782,-0.0059634,-0.018369,-0.0096341
0.0051649,0.00082356,0.012156,-0.0039145,-0.007876,-0.0091104,-0.0072912,-0.017706,-0.0045804,0.00042447,-0.011547,-0.011084,-0.0082092,-0.020158,-0.010257
0.0037762,0.00024541,0.012804,-0.0030848,-0.0080048,-0.008682,-0.0043813,-0.016458,-0.0058268,-0.00048832,-0.011011,-0.0088506,-0.0090669,-0.020072,-0.0084919
