Drive	Sense	Phase	Amp	Gain	Offset
20	23	43	65	80	105
20	24	43	65	80	105
20	25	43	65	80	106
20	26	43	65	80	106
20	27	43	65	80	107
20	28	43	65	80	108
20	29	43	65	80	107
20	30	43	65	80	107
20	31	43	65	80	111
21	16	43	65	80	103
21	17	43	65	80	107
21	18	43	65	80	106
21	19	43	65	80	105
21	20	43	65	80	108
21	21	43	65	80	109
21	22	43	65	80	109
21	23	43	65	80	108
21	24	43	65	80	107
21	25	43	65	80	107
21	26	43	65	80	106
21	27	43	65	80	107
21	28	43	65	80	106
21	29	43	65	80	106
21	30	43	65	80	107
21	31	43	65	80	117
22	16	43	65	80	104
22	17	43	65	80	107
22	18	43	65	80	107
22	19	43	65	80	107
22	20	43	65	80	108
22	21	43	65	80	110
22	22	43	65	80	110
22	23	43	65	80	110
22	24	43	65	80	109
22	25	43	65	80	109
22	26	43	65	80	107
22	27	43	65	80	107
22	28	43	65	80	108
22	29	43	65	80	108
22	30	43	65	80	108
22	31	43	65	80	110
23	16	43	65	80	105
23	17	43	65	80	107
23	18	43	65	80	108
23	19	43	65	80	109
23	20	43	65	80	108
23	21	43	65	80	108
23	22	43	65	80	109
23	23	43	65	80	109
23	24	43	65	80	108
23	25	43	65	80	107
23	26	43	65	80	107
23	27	43	65	80	107
23	28	43	65	80	106
23	29	43	65	80	107
23	30	43	65	80	109
23	31	43	65	80	111
24	16	43	65	80	105
24	17	43	65	80	109
24	18	43	65	80	109
24	19	43	65	80	110
24	20	43	65	80	109
24	21	43	65	80	110
24	22	43	65	80	109
24	23	43	65	80	109
24	24	43	65	80	108
24	25	43	65	80	107
24	26	43	65	80	107
24	27	43	65	80	105
24	28	43	65	80	104
24	29	43	65	80	107
24	30	43	65	80	108
24	31	43	65	80	111
25	16	43	65	80	107
25	17	43	65	80	110
25	18	43	65	80	109
25	19	43	65	80	111
25	20	43	65	80	111
25	21	43	65	80	110
25	22	43	65	80	110
25	23	43	65	80	109
25	24	43	65	80	110
25	25	43	65	80	109
25	26	43	65	80	108
25	27	43	65	80	107
25	28	43	65	80	107
25	29	43	65	80	108
25	30	43	65	80	108
25	31	43	65	80	106
26	16	43	65	80	108
26	17	43	65	80	111
26	18	43	65	80	111
26	19	43	65	80	112
26	20	43	65	80	111
26	21	43	65	80	111
26	22	43	65	80	112
26	23	43	65	80	112
26	24	43	65	80	112
26	25	43	65	80	110
26	26	43	65	80	109
26	27	43	65	80	111
26	28	43	65	80	110
26	29	43	65	80	109
26	30	43	65	80	109
26	31	43	65	80	107
27	16	43	65	80	110
27	17	43	65	80	113
27	18	43	65	80	112
27	19	43	65	80	113
27	20	43	65	80	113
27	21	43	65	80	113
27	22	43	65	80	113
27	23	43	65	80	114
27	24	43	65	80	113
27	25	43	65	80	112
27	26	43	65	80	112
27	27	43	65	80	112
27	28	43	65	80	111
27	29	43	65	80	110
27	30	43	65	80	109
27	31	43	65	80	108
28	16	43	65	80	109
28	17	43	65	80	112
28	18	43	65	80	113
28	19	43	65	80	113
28	20	43	65	80	113
28	21	43	65	80	113
28	22	43	65	80	112
28	23	43	65	80	112
28	24	43	65	80	112
28	25	43	65	80	112
28	26	43	65	80	111
28	27	43	65	80	112
28	28	43	65	80	111
28	29	43	65	80	111
28	30	43	65	80	110
28	31	43	65	80	109
29	16	43	65	80	108
29	17	43	65	80	112
29	18	43	65	80	114
29	19	43	65	80	113
29	20	43	65	80	113
29	21	43	65	80	112
29	22	43	65	80	113
29	23	43	65	80	111
29	24	43	65	80	111
29	25	43	65	80	112
29	26	43	65	80	113
29	27	43	65	80	113
29	28	43	65	80	113
29	29	43	65	80	111
29	30	43	65	80	109
29	31	43	65	80	108
30	16	43	65	80	110
30	17	43	65	80	113
30	18	43	65	80	114
30	19	43	65	80	111
30	20	43	65	80	108
30	21	43	65	80	108
30	22	43	65	80	111
30	23	43	65	80	108
30	24	43	65	80	109
30	25	43	65	80	110
30	26	43	65	80	114
30	27	43	65	80	114
30	28	43	65	80	113
30	29	43	65	80	113
30	30	43	65	80	109
30	31	43	65	80	108
31	16	43	65	80	107
31	17	43	65	80	107
31	18	43	65	80	105
31	19	43	65	80	100
31	20	43	65	80	100
31	21	43	65	80	100
31	22	43	65	80	103
31	23	43	65	80	104
31	24	43	65	80	97
31	25	43	65	80	104
31	26	43	65	80	108
31	27	43	65	80	109
31	28	43	65	80	103
31	29	43	65	80	110
31	30	43	65	80	104
31	31	43	65	80	85
