VID	x	y	z
238	3.304	1.888	0
239	3.54	1.888	0
240	3.776	1.888	0
241	4.012	1.888	0
242	4.248	1.888	0
243	4.484	1.888	0
244	4.72	1.888	0
245	4.956	1.888	0
246	5.192	1.888	0
247	5.428	1.888	0
248	5.664	1.888	0
249	5.9	1.888	0
250	6.136	1.888	0
251	6.372	1.888	0
252	0	2.124	0
253	0.236	2.124	0
254	0.472	2.124	0
255	0.708	2.124	0
256	0.944	2.124	0
257	1.18	2.124	0
258	1.416	2.124	0
259	1.652	2.124	0
260	1.888	2.124	0
261	2.124	2.124	0
262	2.36	2.124	0
263	2.596	2.124	0
264	2.832	2.124	0
265	3.068	2.124	0
266	3.304	2.124	0
267	3.54	2.124	0
268	3.776	2.124	0
269	4.012	2.124	0
270	4.248	2.124	0
271	4.484	2.124	0
272	4.72	2.124	0
273	4.956	2.124	0
274	5.192	2.124	0
275	5.428	2.124	0
276	5.664	2.124	0
277	5.9	2.124	0
278	6.136	2.124	0
279	6.372	2.124	0
280	0	2.36	0
281	0.236	2.36	0
282	0.472	2.36	0
283	0.708	2.36	0
284	0.944	2.36	0
285	1.18	2.36	0
286	1.416	2.36	0
287	1.652	2.36	0
288	1.888	2.36	0
289	2.124	2.36	0
290	2.36	2.36	0
291	2.596	2.36	0
292	2.832	2.36	0
293	3.068	2.36	0
294	3.304	2.36	0
295	3.54	2.36	0
296	3.776	2.36	0
297	4.012	2.36	0
298	4.248	2.36	0
299	4.484	2.36	0
300	4.72	2.36	0
301	4.956	2.36	0
302	5.192	2.36	0
303	5.428	2.36	0
304	5.664	2.36	0
305	5.9	2.36	0
306	6.136	2.36	0
307	6.372	2.36	0
308	0	2.596	0
309	0.236	2.596	0
310	0.472	2.596	0
311	0.708	2.596	0
312	0.944	2.596	0
313	1.18	2.596	0
314	1.416	2.596	0
315	1.652	2.596	0
316	1.888	2.596	0
317	2.124	2.596	0
318	2.36	2.596	0
319	2.596	2.596	0
320	2.832	2.596	0
321	3.068	2.596	0
322	3.304	2.596	0
323	3.54	2.596	0
324	3.776	2.596	0
325	4.012	2.596	0
326	4.248	2.596	0
327	4.484	2.596	0
328	4.72	2.596	0
329	4.956	2.596	0
